CountyName,LocationID,TotalPopulation,Checkups,Depression,Disability,Food_Insecurity,Food_Stamps,Housing_Insecure,Insurance_Gap,Loneliness,Transport_Barriers,Utility_Threat
Alexandria,51510201206,5710,70.2,22.0,36.3,32.1,25.0,25.6,28.1,40.1,15.3,14.2
Alexandria,51510201300,4004,77.1,22.5,18.2,5.1,3.5,5.6,4.2,29.7,3.7,3.7
Alexandria,51510201400,4158,77.3,22.7,20.3,6.2,4.3,6.5,5.5,30.3,4.2,4.1
Alexandria,51510201500,3835,79.9,21.2,22.4,5.4,3.7,5.3,4.8,28.7,3.7,3.4
Alexandria,51510201601,3347,76.7,23.0,20.7,7.3,5.6,7.3,5.1,31.4,4.9,4.9
Alexandria,51510201602,3220,74.1,24.3,22.8,11.5,9.5,10.7,7.4,34.7,7.1,7.1
Alexandria,51510201802,2084,82.4,21.7,27.6,8.8,7.5,7.5,5.4,28.8,5.4,5.4
Alexandria,51510201803,2393,77.0,22.6,17.9,4.8,3.2,5.5,4.2,30.0,3.6,3.5
Alexandria,51510201804,3710,75.8,21.6,17.8,6.4,4.3,6.9,4.9,31.8,4.5,4.4
Alexandria,51510201805,3383,81.6,20.8,24.0,6.0,4.5,5.5,4.8,28.8,4.0,3.7
Alexandria,51510201900,1798,77.9,22.9,20.7,5.4,3.9,5.6,4.5,29.8,4.0,3.8
Alexandria,51510202001,2379,82.0,20.3,21.0,3.7,2.5,3.8,3.5,26.9,2.8,2.5
Alexandria,51510202002,2430,79.4,21.6,21.5,4.9,3.2,5.1,4.5,29.7,3.7,3.3
Alleghany,51005070100,3662,81.1,25.5,42.1,18.2,18.2,12.6,10.1,34.4,9.7,9.2
Alleghany,51005080100,3198,81.0,23.9,38.5,13.1,11.5,9.6,8.7,33.7,7.2,6.5
Alleghany,51005080201,2790,80.7,24.5,34.7,11.0,9.3,8.8,7.4,33.1,6.5,6.0
Alleghany,51005080202,2381,80.9,24.5,37.7,12.2,10.7,9.3,8.2,33.3,6.9,6.3
Alleghany,51005080301,1854,80.3,24.5,35.7,11.3,9.5,8.9,7.9,33.2,6.5,5.9
Alleghany,51005080302,1338,80.6,24.5,36.8,11.9,10.4,9.1,8.1,33.0,6.7,6.2
Amelia,51007930101,2634,80.5,23.2,35.6,14.8,13.2,11.7,8.9,33.2,8.2,7.9
Amelia,51007930102,4475,80.1,24.2,40.2,19.8,19.6,14.2,10.7,34.0,10.4,10.1
Amelia,51007930200,6156,80.5,22.9,37.2,16.1,14.6,12.5,9.6,33.8,8.7,8.4
Amherst,51009010100,5103,80.7,23.2,36.7,14.7,13.5,10.9,9.0,30.8,8.1,7.6
Amherst,51009010201,4398,80.5,23.7,36.0,14.0,12.0,10.6,8.4,33.4,8.2,7.0
Amherst,51009010202,2223,80.0,23.4,35.1,14.4,12.7,11.4,8.9,31.7,8.0,7.6
Amherst,51009010300,3638,80.6,22.7,31.7,9.7,7.9,8.3,6.7,29.9,5.9,5.5
Amherst,51009010401,3356,78.6,24.8,38.1,19.0,18.3,14.5,10.4,33.2,10.4,10.3
Amherst,51009010402,3089,80.5,23.1,35.0,12.9,11.1,10.8,8.0,32.2,7.5,7.2
Amherst,51009010504,4183,79.9,23.2,33.8,14.2,12.3,11.9,8.4,32.6,8.1,8.0
