CountyName,LocationID,TotalPopulation,Checkups,Depression,Disability,Food_Insecurity,Food_Stamps,Housing_Insecure,Insurance_Gap,Loneliness,Transport_Barriers,Utility_Threat,Low_Checkups,Healthcare_Desert_Score,Score_EqualWeights,Risk_Tier
Amherst,51009010402,3089,80.5,23.1,35.0,12.9,11.1,10.8,8.0,32.2,7.5,7.2,19.5,13.87,13.65,LOW
Amherst,51009010504,4183,79.9,23.2,33.8,14.2,12.3,11.9,8.4,32.6,8.1,8.0,20.099999999999994,14.6,14.45,LOW
Amherst,51009010505,1045,77.8,26.6,44.2,27.5,28.8,19.6,13.6,35.5,14.4,14.5,22.200000000000003,21.18,22.01,HIGH
Amherst,51009010506,1585,79.2,23.2,36.5,16.2,14.6,13.1,10.2,33.1,8.9,8.8,20.799999999999997,15.9,15.71,LOW
Amherst,51009010600,2687,79.9,22.7,37.5,17.9,15.8,14.2,10.2,34.1,9.6,9.4,20.099999999999994,16.4,16.41,MODERATE
Appomattox,51011040101,3683,79.8,24.5,33.2,12.4,11.0,10.1,7.9,32.4,7.3,7.0,20.200000000000003,13.81,13.54,LOW
Appomattox,51011040102,3524,80.0,23.6,34.9,14.7,13.1,12.1,8.6,34.0,8.3,8.2,20.0,14.94,14.88,LOW
Appomattox,51011040200,4535,80.3,23.5,35.3,14.5,12.9,11.5,8.4,33.6,8.0,7.8,19.700000000000003,14.63,14.55,LOW
Appomattox,51011040300,4377,80.6,24.0,39.4,18.4,18.1,13.5,9.8,33.5,9.8,9.8,19.400000000000006,16.24,16.54,MODERATE
Arlington,51013100100,5125,79.2,21.3,20.5,5.4,3.6,5.2,5.0,30.3,3.7,3.3,20.799999999999997,10.51,9.66,LOW
Arlington,51013100200,6660,79.7,21.5,21.1,5.2,3.5,5.2,4.7,30.1,3.7,3.3,20.299999999999997,10.28,9.5,LOW
Arlington,51013100300,6199,80.8,21.3,22.1,4.9,3.3,4.8,4.2,29.8,3.7,3.2,19.200000000000003,9.8,9.14,LOW
