CountyName,LocationID,TotalPopulation,Short_Question_Text,Data_Value,Measure_Name
Albemarle,51003010502,3371,Annual Checkup,82.4,Checkups
Chesterfield,51041100206,6726,Annual Checkup,79.0,Checkups
Arlington,51013103401,923,Annual Checkup,62.9,Checkups
Arlington,51013102904,3125,Annual Checkup,74.9,Checkups
Arlington,51013100100,5125,Annual Checkup,79.2,Checkups
Chesterfield,51041100107,2423,Annual Checkup,74.7,Checkups
Botetourt,51023040401,2236,Annual Checkup,80.2,Checkups
Albemarle,51003011301,5127,Annual Checkup,79.6,Checkups
Dinwiddie,51053840101,2481,Annual Checkup,80.6,Checkups
Chesterfield,51041100410,2352,Annual Checkup,80.3,Checkups
Albemarle,51003010603,2391,Annual Checkup,81.0,Checkups
Arlington,51013102200,7880,Annual Checkup,75.3,Checkups
Arlington,51013101000,3319,Annual Checkup,78.8,Checkups
Chesterfield,51041100926,6819,Annual Checkup,82.6,Checkups
Chesterfield,51041100507,6822,Annual Checkup,80.6,Checkups
Buchanan,51027010600,3951,Annual Checkup,77.7,Checkups
Arlington,51013101402,2878,Annual Checkup,73.3,Checkups
Brunswick,51025930301,1604,Annual Checkup,84.4,Checkups
Accomack,51001090402,3281,Annual Checkup,80.2,Checkups
Bedford,51019030104,4450,Annual Checkup,79.0,Checkups
Dinwiddie,51053840602,3042,Annual Checkup,81.7,Checkups
Chesterfield,51041101011,3170,Annual Checkup,76.5,Checkups
Charlotte,51037930200,2663,Annual Checkup,81.4,Checkups
Albemarle,51003010401,4201,Annual Checkup,81.7,Checkups
Brunswick,51025930100,3382,Annual Checkup,82.5,Checkups
Arlington,51013103300,2492,Annual Checkup,74.9,Checkups
Augusta,51015070701,4800,Annual Checkup,78.2,Checkups
Caroline,51033030503,2346,Annual Checkup,81.4,Checkups
Arlington,51013103404,1438,Annual Checkup,76.6,Checkups
Albemarle,51003010801,3598,Annual Checkup,78.7,Checkups
Charlotte,51037930102,2732,Annual Checkup,81.4,Checkups
Chesterfield,51041100936,4038,Annual Checkup,81.6,Checkups
Dinwiddie,51053840300,6482,Annual Checkup,80.3,Checkups
Arlington,51013100600,3285,Annual Checkup,78.0,Checkups
Fairfax,51059420100,4106,Annual Checkup,77.3,Checkups
Arlington,51013103403,1328,Annual Checkup,75.2,Checkups
Chesterfield,51041100930,3412,Annual Checkup,79.4,Checkups
Bedford,51019030601,3336,Annual Checkup,79.4,Checkups
Campbell,51031020402,3422,Annual Checkup,78.8,Checkups
Appomattox,51011040101,3683,Annual Checkup,79.8,Checkups
Fairfax,51059415100,3633,Annual Checkup,78.1,Checkups
Chesterfield,51041100823,6508,Annual Checkup,81.5,Checkups
Carroll,51035080402,2568,Annual Checkup,80.3,Checkups
Buchanan,51027010200,2558,Annual Checkup,79.1,Checkups
Chesterfield,51041100815,4688,Annual Checkup,78.3,Checkups
Fairfax,51059421101,5912,Annual Checkup,77.3,Checkups
Accomack,51001090500,2721,Annual Checkup,80.3,Checkups
Essex,51057950800,3160,Annual Checkup,82.2,Checkups
Bland,51021040100,3646,Annual Checkup,78.2,Checkups
Accomack,51001090202,3046,Annual Checkup,81.2,Checkups
Albemarle,51003010602,4409,Annual Checkup,80.7,Checkups
Carroll,51035080100,3656,Annual Checkup,80.7,Checkups
Carroll,51035080501,2493,Annual Checkup,81.7,Checkups
Arlington,51013102903,1625,Annual Checkup,76.5,Checkups
Fairfax,51059415600,2754,Annual Checkup,81.6,Checkups
Caroline,51033030100,4130,Annual Checkup,78.9,Checkups
Alleghany,51005070100,3662,Annual Checkup,81.1,Checkups
Chesterfield,51041100209,6716,Annual Checkup,79.2,Checkups
Arlington,51013102803,2748,Annual Checkup,76.5,Checkups
Albemarle,51003010303,5685,Annual Checkup,79.7,Checkups
Arlington,51013101705,4175,Annual Checkup,74.7,Checkups
Fairfax,51059415700,4187,Annual Checkup,78.9,Checkups
Carroll,51035080502,2180,Annual Checkup,81.6,Checkups
Craig,51045050100,4892,Annual Checkup,79.7,Checkups
Arlington,51013102003,4820,Annual Checkup,75.8,Checkups
Bedford,51019030605,3161,Annual Checkup,78.7,Checkups
Arlington,51013103200,5520,Annual Checkup,75.6,Checkups
Arlington,51013101408,788,Annual Checkup,69.4,Checkups
Dinwiddie,51053840102,3084,Annual Checkup,80.8,Checkups
Dickenson,51051040100,3910,Annual Checkup,78.3,Checkups
Appomattox,51011040300,4377,Annual Checkup,80.6,Checkups
Arlington,51013101100,5948,Annual Checkup,78.0,Checkups
Chesterfield,51041100920,1766,Annual Checkup,79.6,Checkups
Chesterfield,51041100822,6011,Annual Checkup,81.1,Checkups
Fairfax,51059430101,4718,Annual Checkup,79.7,Checkups
Fairfax,51059480502,5763,Annual Checkup,78.7,Checkups
Fairfax,51059492400,4873,Annual Checkup,75.4,Checkups
Henrico,51087200122,4879,Annual Checkup,79.2,Checkups
Fairfax,51059471201,3050,Annual Checkup,76.9,Checkups
Fairfax,51059480903,4177,Annual Checkup,72.8,Checkups
Fairfax,51059422201,4071,Annual Checkup,80.0,Checkups
Frederick,51069050401,4490,Annual Checkup,76.8,Checkups
Fairfax,51059460300,2896,Annual Checkup,80.4,Checkups
Fairfax,51059482303,3617,Annual Checkup,78.9,Checkups
Fauquier,51061930101,3182,Annual Checkup,78.6,Checkups
Fairfax,51059480802,3910,Annual Checkup,76.8,Checkups
Fauquier,51061930206,2220,Annual Checkup,80.4,Checkups
Fairfax,51059470800,3255,Annual Checkup,80.9,Checkups
Fairfax,51059481500,2289,Annual Checkup,81.4,Checkups
Halifax,51083930203,2643,Annual Checkup,80.4,Checkups
Fauquier,51061930402,6027,Annual Checkup,79.5,Checkups
Fairfax,51059482205,2622,Annual Checkup,72.1,Checkups
Fairfax,51059490501,3326,Annual Checkup,74.6,Checkups
Fairfax,51059430801,4629,Annual Checkup,78.5,Checkups
Henrico,51087200502,2098,Annual Checkup,77.7,Checkups
Fairfax,51059451602,2885,Annual Checkup,77.1,Checkups
Fairfax,51059491801,2324,Annual Checkup,74.9,Checkups
Halifax,51083930302,4380,Annual Checkup,80.8,Checkups
Henrico,51087200126,3961,Annual Checkup,74.1,Checkups
Fairfax,51059421500,7103,Annual Checkup,74.5,Checkups
Fairfax,51059431002,2368,Annual Checkup,77.6,Checkups
Fairfax,51059471203,2420,Annual Checkup,76.4,Checkups
Frederick,51069050402,2826,Annual Checkup,78.7,Checkups
Henrico,51087200136,3099,Annual Checkup,83.2,Checkups
Henrico,51087200600,5056,Annual Checkup,77.1,Checkups
Fauquier,51061930704,3920,Annual Checkup,79.6,Checkups
Franklin,51067020200,5173,Annual Checkup,78.9,Checkups
Hanover,51085320300,4216,Annual Checkup,80.9,Checkups
Fairfax,51059490502,6585,Annual Checkup,80.0,Checkups
Henrico,51087200106,4780,Annual Checkup,78.1,Checkups
Henrico,51087200417,2211,Annual Checkup,81.9,Checkups
Fairfax,51059491602,5310,Annual Checkup,76.8,Checkups
Fairfax,51059471304,2073,Annual Checkup,78.9,Checkups
Fairfax,51059482302,4625,Annual Checkup,73.4,Checkups
Fairfax,51059451900,6015,Annual Checkup,77.0,Checkups
Fauquier,51061930203,2703,Annual Checkup,81.7,Checkups
Henrico,51087200108,2960,Annual Checkup,81.7,Checkups
Goochland,51075400300,886,Annual Checkup,77.1,Checkups
Henrico,51087200150,4815,Annual Checkup,79.3,Checkups
Fairfax,51059470300,3418,Annual Checkup,81.2,Checkups
Giles,51071930300,5503,Annual Checkup,79.2,Checkups
Henrico,51087200802,2192,Annual Checkup,80.1,Checkups
Fairfax,51059482504,5277,Annual Checkup,79.8,Checkups
Frederick,51069050801,6689,Annual Checkup,80.3,Checkups
Hanover,51085320601,4617,Annual Checkup,76.4,Checkups
Fauquier,51061930305,4677,Annual Checkup,80.2,Checkups
Fairfax,51059491301,6797,Annual Checkup,76.4,Checkups
Hanover,51085321401,2337,Annual Checkup,79.9,Checkups
